customer_unique_id,total_orders,total_spend,avg_order_value,avg_payment_installments,avg_review_score,category_diversity,recency_days,most_common_category,customer_city,customer_state,review_comment_message,total_orders_winsor,total_spend_winsor,avg_order_value_winsor,cluster
0000366f3b9a7992bf8c76cfdf3221e2,1,141.9,141.9,8.0,5.0,1,111,bed_bath_table,cajamar,SP,"Adorei a cortina, ficou linda na minha sala, e o tecido é lindo deixa a sala muito sofisticada. super recomendo",1,141.9,141.9,1
0000b849f77a49e4a4ce2b2a4ca5be3f,1,27.19,27.19,1.0,4.0,1,114,health_beauty,osasco,SP,Muito bom,1,27.19,27.19,1
00050ab1314c0e55a6ca13cf7181fecf,1,35.38,35.38,1.0,4.0,1,131,telephony,campinas,SP,Muito bom,1,35.38,35.38,1
00090324bbad0e9342388303bb71ba0a,1,63.66,63.66,3.0,5.0,1,158,bed_bath_table,campinas,SP,"É exatamente o que eu esperva,amei essa saia para cama excelente produto. ",1,63.66,63.66,1
000949456b182f53c18b68d6babc79c1,1,82.05,82.05,1.0,4.0,1,128,computers_accessories,sao bernardo do campo,SP,Muito bom,1,82.05,82.05,1
000c8bdb58a29e7115cfc257230fb21b,1,29.0,29.0,2.0,5.0,1,259,bed_bath_table,belo horizonte,MG,Gostei do produto bem resistente aparentemente ainda não usei.,1,29.0,29.0,1
000d460961d6dbfa3ec6c9f5805769e1,1,36.68,36.68,1.0,5.0,1,233,telephony,sao paulo,SP,Muito bom,1,36.68,36.68,1
000e309254ab1fc5ba99dd469d36bdb4,1,78.42,39.21,1.0,3.0,1,65,fashion_underwear_beach,valparaiso de goias,GO,Muito bom,1,78.42,39.21,1
000ec5bff359e1c0ad76a81a45cb598f,1,27.75,27.75,1.0,5.0,1,8,home_appliances,salto de pirapora,SP,Super recomendo. Entregaram antes do prazo otimo,1,27.75,27.75,1
000ed48ceeb6f4bf8ad021a10a3c7b43,1,20.75,20.75,1.0,5.0,1,100,computers_accessories,sao paulo,SP,Muito bom,1,20.75,20.75,1
0010fb34b966d44409382af9e8fd5b77,1,61.8,61.8,6.0,4.0,1,176,bed_bath_table,sao paulo,SP,Muito bom,1,61.8,61.8,1
0014a5a58da615f7b01a4f5e194bf5ea,1,99.82,99.82,3.0,5.0,1,222,health_beauty,sao paulo,SP,Muito bom,1,99.82,99.82,1
0015752e079902b12cd00b9b7596276b,1,149.64,74.82,3.0,5.0,1,26,luggage_accessories,sao paulo,SP,Muito bom,1,149.64,74.82,1
00172711b30d52eea8b313a7f2cced02,1,122.07,122.07,2.0,4.0,1,32,stationery,jequie,BA,Recebi o produto. É de ótima qualidade. Só o cadeado que acompanha o produto que veio com defeito. ,1,122.07,122.07,1
00196c4c9a3af7dd2ad10eade69c926f,1,37.58,37.58,1.0,5.0,1,32,computers_accessories,vinhedo,SP,Muito bom,1,37.58,37.58,1
00196fdb2bf9edfc35e88ebfbcf8d781,1,27.0,27.0,1.0,3.0,1,187,electronics,canoas,RS,Muito bom,1,27.0,27.0,1
0019e8c501c85848ac0966d45226fa1d,1,197.27,197.27,2.0,5.0,1,120,sports_leisure,cuiaba,MT,"Entregou antes do prazo 
Excelente ",1,197.27,197.27,1
001a34eb30ecb8e3aacb07c475ca4dd1,1,161.71,161.71,1.0,5.0,1,48,housewares,sao paulo,SP,Muito bom,1,161.71,161.71,1
001a3a8e11d76c9a366c31a4aa2cc529,1,24.23,24.23,1.0,5.0,1,100,electronics,porto alegre,RS,Muito bom,1,24.23,24.23,1
001ae5a1788703d64536c30362503e49,1,135.08,135.08,1.0,5.0,1,264,garden_tools,volta redonda,RJ,Muito bom,1,135.08,135.08,1
001deb796b28a3a128d6113857569aa4,1,63.33,63.33,6.0,4.0,1,67,housewares,rio de janeiro,RJ,Muito bom,1,63.33,63.33,1
002311514717ca8b65b09a26cdf7b91a,1,124.32,124.32,2.0,5.0,1,63,auto,guarulhos,SP,Muito bom,1,124.32,124.32,1
002471155ecd08d208d1376720e2a907,1,92.18,92.18,3.0,5.0,1,20,housewares,itajai,SC,Muito bom,1,92.18,92.18,1
00256bf7b05c08f6a5849df3d0a64f1f,1,57.73,57.73,1.0,3.0,1,88,furniture_decor,sao paulo,SP,Muito bom,1,57.73,57.73,1
0027324a96d26a2bc7d69262f83c8403,1,46.78,46.78,2.0,5.0,1,157,perfumery,sao jose dos campos,SP,"Chegou antes do prazo, produto bem acabado, adorei o tamanho pois achei que fosse menor, fiquei super satisfeita com a compra.",1,46.78,46.78,1
0028cfeb9dfcd3628a56d5b6400deef5,1,118.2,118.2,1.0,5.0,1,234,electronics,serrana,SP,Muito bom chegou até ates do que eu esperava,1,118.2,118.2,1
002bdeb33da5b1b3ce8b9c822f749c82,1,38.09,38.09,1.0,5.0,1,266,health_beauty,palhoca,SC,"Quanto a loja, perfeito. Entregue no prazo e tudo OK com o produto. Com relação ao produto, não testei ainda, mas parece de boa qualidade.",1,38.09,38.09,1
002d3bd901608f67c3fc11eaaa842b13,1,28.76,28.76,1.0,4.0,1,225,drinks,santo andre,SP,Muito bom,1,28.76,28.76,1
